niche_slug,niche_name,market_size_au,avg_business_revenue,entry_price_aud,growth_price_aud,scale_price_aud,target_cac_aud,projected_ltv_aud,meta_targeting_viable,priority_tier,decision,analyzed_date,notes
bricklayer,Bricklaying / Blockwork,9297,100000-250000,39,79,149,250,585,true (behaviour-only),3,HOLD,2026-06-19,"Adapts tradies template; flat industry, builder-referral demand and behaviour-only Meta targeting make base LTV:CAC ~2.3:1 (marginal). Better as part of multi-trade tradies offering than standalone v1."
electrician,Electrician / Electrical Services,45850,282520,49,99,199,220,990,true (interest + behaviour),1,GO,2026-06-19,"Category=trades. Flagship trade: direct-to-homeowner + emergency demand, usable Meta interest, electrification/net-zero tailwind, confirmed LSA-eligible. Base LTV:CAC ~4.5:1, ~4mo payback. Build dependency: trades category must be expanded to multi-page site system first."
plumber,Plumbing / Plumbing Services,28615,150000,49,99,199,220,990,true (interest + behaviour),1,GO,2026-06-19,"Category=trades. Flagship trade alongside electrician; highest emergency-demand share so 'more calls now' frame is strongest. Base LTV:CAC ~4.5:1, ~4mo payback; bear fails on churn. Confirmed AU LSA-eligible. 'Own your leads vs hipages/Airtasker' wedge. Build dependency: trades multi-page system. avg revenue is sole-trader gross midpoint estimate."
house-cleaning,House Cleaning / Cleaning Services,50000,50000-120000,39,89,179,200,1000,true (interest + behaviour),1,GO,2026-06-19,"Category=trades (no new template). Largest addressable pool (~17.7k residential growing ~8.3%/yr + ~44.8k commercial). Recurring weekly/fortnightly revenue drives base LTV:CAC ~5:1, ~4mo payback — best economics analysed. Strong Meta home-services fit; exceptional new-active-business-admins match. NOTE: Google LSA NOT available AU, so no LSA Scale hook. Bear fails on new-entrant churn. Build dependency: trades multi-page system."
physiotherapy,Physiotherapy,9497,410000,69,129,249,350,1700,true (interest + behaviour),1,GO,2026-06-19,"Category=allied-health (calibration niche). Growing market (+5.2% YoY, ~$3.9bn, ~$410k/clinic). Higher WTP + tiers ($69/$129/$249) vs ~$495/mo allied-health managed benchmark. Base LTV:CAC ~4.9:1, ~4.1mo payback; bear fails on high health CPL + churn. Higher incumbency (most clinics have a site); Ahpra bans clinical-outcome testimonials; no physio LSA. Build dependency: allied-health system built from scratch (1-line stub)."
hairdresser,Hairdressing / Hair Salon,22000-26000,300000,39,89,169,250,864,true (interest + behaviour),1,GO,2026-06-19,"Category=beauty-aesthetics (best-fit Meta category). Instagram-native visually-motivated owner whose weak point is exactly an owned site. Base LTV:CAC ~3.5:1, ~5.2mo payback — clears 3:1 with less headroom (hot beauty CPM ~$12.46, lower $39 entry, no LSA). Online booking + visual gallery niche-defining. 'Own your bookings, no commission vs Fresha' wedge. Build dependency: beauty-aesthetics system from scratch. Market size triangulated (IBISWorld bundles hair+beauty)."
personal-trainer,Personal Training / Fitness Studio,20000-35000,50000-1000000,39,89,179,250,800,true (behaviour-led),1,GO,2026-06-19,"Category=fitness-wellness. GO is studio/reformer-Pilates-led (~8.4% CAGR pocket); overall gym industry flat. Base LTV:CAC ~3.2:1 (narrow pass), bear ~0.5:1 fails hard. Risks: audience inversion (Meta fitness interests reach clients not owners — behavioural spine + lookalikes + B2B creative mandatory) and thin sole-trader margins. No LSA. Build dependency: fitness-wellness category net-new (no template at all)."
cafe,Café / Coffee Shop,15251,600000,25,49,99,400,450,true (behaviour-only),3,HOLD,2026-06-19,"Category=hospitality (most consumer-contaminated targeting). Low-margin (3-6% net), entry pinned at $19-29 floor. Base LTV:CAC ~1.1:1 FAILS 2:1 floor, ~13mo payback. Product-frame mismatch: 'more phone calls' doesn't fit a walk-in/foot-traffic business; call-tracking retention loop absent. HOLD pending category build + live owner-CPL test + re-tooled foot-traffic value frame. Bull (~7:1) is minority multi-venue/retail-coffee profile."
accountant,Accounting / Bookkeeping,36717,400000-500000,79,149,299,475,1900,true (B2B behavioural),3,HOLD,2026-06-19,"Category=professional-services. Passes mechanical screen (recurring LTV $5k-$30k+, Meta B2B spine) but FAILS product-fit: high digital sophistication (many already have good sites), referral-led/consultation/partly-remote demand mutes 'more local calls', B2B CAC ~2x trades (base ~$475, bear 0.7:1 fails). Base LTV:CAC ~4:1 but fragile at scale. No LSA. Build dependency: professional-services net-new. HOLD Tier-3; revisit on better-fit pro niche + customer-list lookalike."
florist,Florist / Flower Shop,2807,350000,39,79,149,289,672,true (interest + behaviour),3,HOLD,2026-06-19,"Category=retail-boutique. Owner-adjacent 🟢 Meta interest but dominant conversion is e-commerce/checkout (~$495m online, growing faster than shopfronts), NOT phone-lead — poor fit for lead-gen model; already served by transactional platforms (Flower Store in a Box, Shopify $29-79). Base LTV:CAC ~2.3:1 (clears 2:1, misses 3:1). Small owner pool (~2-3k). No LSA. Build dependency: retail-boutique from scratch. HOLD; reassess scoped to weddings/events or if product gains checkout."
